County,Male,Female,Total,abbreviation
BRONX,259845,197002,456847,BX
KINGS,555917,427852,983769,K
NEW YORK,399606,348977,748583,NY
QUEENS,631912,502152,1134064,Q
RICHMOND,156339,147911,304250,R
